year,uf_name,mortality,uf,pop,region_code,region_name,mortality_rate
2011,Rondônia,238,11,823690,1,Norte,8.605
2011,Roraima,85,14,238427,1,Norte,8.547
2011,Santa Catarina,669,42,3197284,4,Sul,7.647
2011,Sergipe,397,28,1034909,2,Nordeste,11.367
2011,São Paulo,4875,35,20805607,3,Suldeste,7.989
2011,Tocantins,271,17,726648,1,Norte,10.825
2012,Acre,180,12,397432,1,Norte,10.778
2012,Alagoas,581,27,1562624,2,Nordeste,11.065
2012,Amapá,221,16,364765,1,Norte,14.837
2012,Amazonas,816,13,1854683,1,Norte,10.538
2012,Bahia,2526,29,7075932,2,Nordeste,12.029
2012,Ceará,1145,23,4255660,2,Nordeste,9.025
2012,Distrito Federal,354,53,1306250,5,Centro-Oeste,8.138
2012,Espírito Santo,432,32,1818188,3,Suldeste,8.176
2012,Goiás,901,52,3136265,5,Centro-Oeste,9.66
2012,Maranhão,1175,21,3365800,2,Nordeste,10.126
2012,Mato Grosso,470,51,1624000,5,Centro-Oeste,9.17
2012,Mato Grosso do Sul,383,50,1273340,5,Centro-Oeste,9.065
2012,Minas Gerais,2095,31,9964508,3,Suldeste,8.041
2012,Paraná,1173,41,5317484,4,Sul,7.62
2012,Paraíba,588,25,1876227,2,Nordeste,10.358
2012,Pará,1713,15,4010819,1,Norte,12.428
2012,Pernambuco,1454,26,4389019,2,Nordeste,10.284
2012,Piauí,569,22,1571343,2,Nordeste,11.864
2012,Rio Grande do Norte,486,24,1613743,2,Nordeste,10.342
2012,Rio Grande do Sul,981,43,5364226,4,Sul,7.061
2012,Rio de Janeiro,2178,33,7884719,3,Suldeste,9.773
2012,Rondônia,238,11,833047,1,Norte,8.977
2012,Roraima,122,14,243716,1,Norte,11.508
2012,Santa Catarina,632,42,3241493,4,Sul,7.119
2012,Sergipe,371,28,1044738,2,Nordeste,10.877
2012,São Paulo,4891,35,21006793,3,Suldeste,7.932
2012,Tocantins,224,17,735205,1,Norte,9.182
2013,Acre,184,12,403747,1,Norte,10.776
2013,Alagoas,667,27,1568858,2,Nordeste,12.708
2013,Amapá,245,16,373140,1,Norte,15.595
2013,Amazonas,905,13,1887797,1,Norte,11.45
