year,uf_name,born_alive,uf,age_group,pop,region_code,region_name,birth_rate
2010,Rondônia,25835,11,Total,814371,1,Norte,31.723870324459
2010,Roraima,9738,14,Total,233153,1,Norte,41.76656530261245
2010,Santa Catarina,84611,42,Total,3153624,4,Sul,26.829767911456788
2010,Sergipe,34016,28,Total,1024952,2,Nordeste,33.18789562828308
2010,São Paulo,601353,35,Total,20607272,3,Suldeste,29.181591818655086
2010,Tocantins,24471,17,Total,717988,1,Norte,34.08274232995537
2011,Acre,17817,12,Total,390823,1,Norte,45.58841214565161
2011,Alagoas,54281,27,Total,1556086,2,Nordeste,34.88303345701973
2011,Amapá,15114,16,Total,356510,1,Norte,42.394322739895095
2011,Amazonas,76202,13,Total,1821875,1,Norte,41.826140651801026
2011,Bahia,215032,29,Total,7049794,2,Nordeste,30.501884168530314
2011,Ceará,128592,23,Total,4230639,2,Nordeste,30.395408353206218
2011,Distrito Federal,43465,53,Total,1286158,5,Centro-Oeste,33.79444827151874
2011,Espírito Santo,53053,32,Total,1795501,3,Suldeste,29.54774182804688
2011,Goiás,89742,52,Total,3086197,5,Centro-Oeste,29.07850665398223
2011,Maranhão,121109,21,Total,3348706,2,Nordeste,36.165910056003725
2011,Mato Grosso,51218,51,Total,1605262,5,Centro-Oeste,31.906318096360593
2011,Mato Grosso do Sul,42152,50,Total,1258190,5,Centro-Oeste,33.50209427828865
2011,Minas Gerais,259863,31,Total,9896288,3,Suldeste,26.25863354017183
2011,Paraná,152902,41,Total,5278327,4,Sul,28.96789077296651
2011,Paraíba,58741,25,Total,1869634,2,Nordeste,31.418448744513633
2011,Pará,141974,15,Total,3963990,1,Norte,35.81593293625867
2011,Pernambuco,140079,26,Total,4359961,2,Nordeste,32.12849839711869
2011,Piauí,50144,22,Total,1568513,2,Nordeste,31.96913254783352
2011,Rio Grande do Norte,48101,24,Total,1598982,2,Nordeste,30.082264841005088
2011,Rio Grande do Sul,137710,43,Total,5340181,4,Sul,25.787515441892324
2011,Rio de Janeiro,220603,33,Total,7834418,3,Suldeste,28.158186096274157
2011,Rondônia,27658,11,Total,823690,1,Norte,33.57816654323835
2011,Roraima,9945,14,Total,238427,1,Norte,41.71088005972478
2011,Santa Catarina,87481,42,Total,3197284,4,Sul,27.361035178607843
2011,Sergipe,34925,28,Total,1034909,2,Nordeste,33.74692847390447
2011,São Paulo,610222,35,Total,20805607,3,Suldeste,29.329689828323684
2011,Tocantins,25035,17,Total,726648,1,Norte,34.452719886382404
2012,Acre,16700,12,Total,397432,1,Norte,42.019766903520605
2012,Alagoas,52510,27,Total,1562624,2,Nordeste,33.60373320773263
2012,Amapá,14895,16,Total,364765,1,Norte,40.83450988992913
2012,Amazonas,77434,13,Total,1854683,1,Norte,41.750530953268026
2012,Bahia,209999,29,Total,7075932,2,Nordeste,29.67792793938664
2012,Ceará,126868,23,Total,4255660,2,Nordeste,29.81159209147347
2012,Distrito Federal,43497,53,Total,1306250,5,Centro-Oeste,33.29913875598086
2012,Espírito Santo,52835,32,Total,1818188,3,Suldeste,29.059151198885925
2012,Goiás,93274,52,Total,3136265,5,Centro-Oeste,29.740471548163182
2012,Maranhão,116039,21,Total,3365800,2,Nordeste,34.47590468833561
2012,Mato Grosso,51256,51,Total,1624000,5,Centro-Oeste,31.561576354679804
2012,Mato Grosso do Sul,42252,50,Total,1273340,5,Centro-Oeste,33.182025224998824
2012,Minas Gerais,260544,31,Total,9964508,3,Suldeste,26.1472016480894
2012,Paraná,153945,41,Total,5317484,4,Sul,28.950721807531533
2012,Paraíba,56770,25,Total,1876227,2,Nordeste,30.257532803866482
2012,Pará,137837,15,Total,4010819,1,Norte,34.36629775614407
2012,Pernambuco,141382,26,Total,4389019,2,Nordeste,32.21266529035304
2012,Piauí,47962,22,Total,1571343,2,Nordeste,30.522934839815367
2012,Rio Grande do Norte,46993,24,Total,1613743,2,Nordeste,29.120498121448087
2012,Rio Grande do Sul,138941,43,Total,5364226,4,Sul,25.901406838563474
2012,Rio de Janeiro,222859,33,Total,7884719,3,Suldeste,28.264672463279922
2012,Rondônia,26513,11,Total,833047,1,Norte,31.826535597631345
2012,Roraima,10601,14,Total,243716,1,Norte,43.49734937386138
2012,Santa Catarina,88772,42,Total,3241493,4,Sul,27.38614582848089
2012,Sergipe,34108,28,Total,1044738,2,Nordeste,32.64741973585722
2012,São Paulo,616608,35,Total,21006793,3,Suldeste,29.352790785342627
2012,Tocantins,24395,17,Total,735205,1,Norte,33.181221564053565
2013,Acre,17075,12,Total,403747,1,Norte,42.29133591085507
2013,Alagoas,52488,27,Total,1568858,2,Nordeste,33.45618277753627
2013,Amapá,15710,16,Total,373140,1,Norte,42.10216004716728
2013,Amazonas,79041,13,Total,1887797,1,Norte,41.869438292358765
2013,Bahia,203342,29,Total,7099427,2,Nordeste,28.64202984269012
2013,Ceará,124876,23,Total,4279734,2,Nordeste,29.178448940985586
2013,Distrito Federal,44530,53,Total,1326427,5,Centro-Oeste,33.57139141468019
2013,Espírito Santo,54065,32,Total,1841035,3,Suldeste,29.36663344260158
2013,Goiás,94822,52,Total,3185879,5,Centro-Oeste,29.76321448491923
2013,Maranhão,115000,21,Total,3380783,2,Nordeste,34.01578865014407
2013,Mato Grosso,53039,51,Total,1643522,5,Centro-Oeste,32.27154854026901
2013,Mato Grosso do Sul,42296,50,Total,1288460,5,Centro-Oeste,32.826785464818464
2013,Minas Gerais,258635,31,Total,10031255,3,Suldeste,25.782915497612212
2013,Paraná,155758,41,Total,5357607,4,Sul,29.072307841915244
2013,Paraíba,56854,25,Total,1882569,2,Nordeste,30.200221080874062
2013,Pará,139416,15,Total,4056010,1,Norte,34.37269631978225
2013,Pernambuco,141453,26,Total,4417669,2,Nordeste,32.0198276511889
2013,Piauí,46419,22,Total,1573273,2,Nordeste,29.504733126418618
2013,Rio Grande do Norte,46798,24,Total,1627967,2,Nordeste,28.746282940624717
